text,label,notes
Assassin's coin glitch in liberation help,analysis,
"How were you able to get to the coin npc while in the slave persona? There's 3 coins in the bayou, 7 in New Orleans.",analysis,
"First time exploring the villa as Desmond. Love the music and the scenery, and playing as Desmond like an assassin was so fun",opinion,
I like all the homestead missions for assassins creed 3. It really made the game feel more personal for me,opinion,
"It’s hard to get a clear why. But the colonial assassins clearly violate every tenet of the creed. Which is funny because this is what causes their downfall, they don’t hide in plain sight and put their flag up huge to show where they are, they don’t care if they kill innocents and they compromise the brotherhood constantly.",analysis,
"I must say I dont think there is much DNA in AC anymore as the games all have such widely different gameplay, story and aesthetic designs. The closest thing is the historical setting.",opinion,
"Petruccio would take Claudia's place as the more business minded member of the family when he grows up, since he can't do anything physical.",opinion,edge case
"
All the armies the Borgia could muster wouldnt stand a chance against the hellfire that Ezio, Federico, and Giovani would bring down apon them",opinion,
Giovanni would’ve ended the Pazzi and Borgia before Mass on Black Sunday could even be held.,opinion,
"Templars hunt for the tools to bend people's will under a guise of ""order"" while pretending like every agent of control will be good-willed. And that's ignoring that Templars were behind Hitler's rise and gave him apple to make a world order. Assassins have some limits, Templars don't. They will raze a city or do anything if it means they get to have the ""order"". It wasn't until Haytham and only Haytham who thought of following practical goals instead of chasing precursor tools.",analysis,
Yes it's a great game but no interest in 100% it. Some of the challenges really drain the fun out of it. Such badly conceived challenges. (Though still not as bad as Mirage),opinion,
"Try to kill the other enemies near the hiding spots or on a trajectory where the enemy will pass by the hiding spot to reach the body or when you know that another enemy will see it and come to investigate, go into the hiding spot.

I remember the cherry bombs not being the most consistent and the partial detection was a better way. Don t bait them to the hiding spot by letting them spot you near the hiding spot, stay further back but on the trajectory of the hiding spot, then before the enemy passes by, use the hiding spot. The enemy will pass by the hiding spot to it s ,, destination "" ,then you assasinate. If more than one enemy will come and pass by the hiding spot, let them pass, when they return back to their posts, assasinate the last one.",analysis,
"Gameplay & Mechanics
I've begun a replay of Syndicate and am 12+ hours in now. I haven't touched the game since 2019 so I've forgotten everything about the controls, and was surprised of how janky/unresponsive moving and parkour in this game feels.

(I'm more of a casual player, so I don't know the tricks and cool people accomplish with parkour in these games, and it may also be because I'm used to Unity's and Ezio trilogy's parkours as I've 100%d those games more or less recently.)


Any time I try to go down, Fryes won't jump as I've gotten used to. And that they won't fall down from places ""too"" high. Turning around especially in tight spots feels really bulky (?) like turning a truck when I have no driver's license. Sometimes they get stuck on railings or fences and refuse to hop off despite any input? Honestly sometimes how the parkour works feels really random and frustrating when it breaks. I hope I'm not the only one who has had problems with it. I wish they'd stuck with Unity's system for Syndicate, though that comes from a place of love and 200+ hours of Unity.


Please be nice to me..... I still enjoy the combat and stealth portions, and the gameplay loop for what it is.",opinion,
"I know this game is over 10 years old at this point but I’ve been playing through the all the AC games and ran into this glitch for the side mission “Lost In The City” where upon starting the mission you instantly fail saying you failed to locate the prostitute.

There was nothing I could find anywhere online for a console solution, so I’m just putting this out here so when someone else runs into it and starts googling it they can find this.

But if this happens to you.

-Fully close the game -Hard Restart Your Console (shut down, and unplug for 2 minutes) -Load Back in the game -Fast Travel to a different location and then actually run to the mission marker

This worked for me, you might get away with just fast traveling and running back. But I covered all the bases.",analysis,
"
The closest thing that happened to me (in PC) were those tailing missions in the main game, if you activate super vision too early and the target gets recognized you will insta-fail the mission from being too far from the target",analysis,
"The Prince from Prince of Persia would probably be a good assassin giving his skills
All the main characters would be too because they pretty much already are
Felicia Hardy (black cat) would too, same for Catwoman",opinion,
"Van Helsing, from the movie with Hugh Jackman.

Idk why, I just always thought it would've been awesome to see a monster hunting Assassin, even though Van Helsing is technically associated with the catholic church, which's commonly controlled by the Templars.",opinion,
"99.29% Sync - discovered what the remaining 0.71% is

Searching online I found some other folks stranding on a 99.29% sync percentage, wondering where the remaining 0.71% is to be found.

There's one San Giminiano side mission called 'Don't Get Your Hands Dirty', gently requiring you to not use any weapon to carry out the four assassinations. Since 100% sync was only introduced in Brotherhood, there's no indicator during or after the mission to track if you fullfilled the requirements, since you can finish the mission using weapons. This mission might be one of the seeds that led to the 100% sync mechanic in the following titles.

So for completionists out there: just make sure the four guards are assassinated without using any weapons, and you should net the remaining 0.71%. Well done, you!",analysis,
"I certainly do, and I always thought they contributed to the liveliness of the Caribbean and what the major Empires were up to:

Andreas Island: after finishing the tutorial mission for robbing Plantations, come back and you’d find a Spanish Brig and 3 Spanish Schooners chilling near the island

Cumberland Bay: the badly damaged Spanish Man O’War blocking the main entrance to the bay, usually was a prime target for a player’s first crack at raiding a Galleon

Tortuga: Guarded by 2 British Frigates and a Gunboat, it’d be great if Resynced could work it into the location narrative

Île á Vache: A max level British Frigate pummeling a whole bunch of allied Pirate brigs appearing out of a misty fog

Cayman Sound: A British Frigate and a few Gunboats chilling in the bay for some reason

Pinos Isle: Both entrances guarded by Spanish Frigates, and given it‘s the site of a Templar Hunt mission it‘s possible Resynced could work that in.

Corozal: A Spanish Galleon blocks the entrance while inside a max level Spanish Frigate chases an allied Pirate Brig around the small bay

And who doesn’t remember the New Bone blockade, how it was a Level 60 Man O’War and two Level 29 Frigates, aka prime farming for Kenway‘s Fleet back then if one was looking for Galleons to add.",analysis,
